 time      seg dst      amp      flag
 6530      4   3.828    168.779  1  
 6530      3   3.867    153.282  1  
 6530      2   3.935    80.201   1  
 6588      6   3.973    103.143  1  
 6588      5   3.908    160.627  1  
 6588      4   3.879    164.639  1  
 6588      3   3.918    146.824  1  
 6588      2   3.994    74.150   1  
 6588      6   3.973    103.143  1  
 6588      5   3.908    160.627  1  
 6588      4   3.879    164.639  1  
 6588      3   3.918    146.824  1  
 6588      2   3.994    74.150   1  
 6700      6   4.078    182.187  1  
 6700      5   4.010    301.824  1  
 6700      4   3.978    304.441  1  
 6700      3   4.017    270.215  1  
 6700      2   4.188    107.848  1  
 6700      6   4.078    182.187  1  
 6700      5   4.010    301.824  1  
 6700      4   3.978    304.441  1  
 6700      3   4.017    270.215  1  
 6700      2   4.188    107.848  1  
 6760      6   4.135    176.077  1  
 6760      5   4.069    294.104  1  
 6760      4   4.038    295.247  1  
 6760      3   4.082    257.024  1  
 6760      2   4.225    86.187   1  
 6760      6   4.135    176.077  1  
 6760      5   4.069    294.104  1  
 6760      4   4.038    295.247  1  
 6760      3   4.082    257.024  1  
 6760      2   4.225    86.187   1  
 6871      6   4.262    174.240  1  
 6871      5   4.198    276.120  1  
 6871      4   4.172    277.256  1  
 6871      3   4.225    223.312  1  
 6871      2   4.360    44.029   1  
 6871      6   4.262    174.240  1  
 6871      5   4.198    276.120  1  
 6871      4   4.172    277.256  1  
 6871      3   4.225    223.312  1  
 6871      2   4.360    44.029   1  
 6989      6   4.398    189.060  1  
 6989      5   4.332    268.565  1  
 6989      4   4.308    257.600  1  
 6989      3   4.365    197.683  1  
 6989      2   4.500    15.483   1  
 6989      6   4.398    189.060  1  
 6989      5   4.332    268.565  1  
 6989      4   4.308    257.600  1  
 6989      3   4.365    197.683  1  
 6989      2   4.500    15.483   1  
 7046      7   4.715    15.102   1  
 7046      6   4.463    189.836  1  
 7046      5   4.394    263.159  1  
 7046      4   4.372    249.200  1  
 7046      3   4.427    186.749  1  
 7046      7   4.715    15.102   1  
 7046      6   4.463    189.836  1  
 7046      5   4.394    263.159  1  
 7046      4   4.372    249.200  1  
 7046      3   4.427    186.749  1  
 7161      6   4.588    176.314  1  
 7161      5   4.505    253.896  1  
 7161      4   4.489    235.890  1  
 7161      3   4.534    170.189  1  
 7161      6   4.588    176.314  1  
 7161      5   4.505    253.896  1  
 7161      4   4.489    235.890  1  
 7161      3   4.534    170.189  1  
 7274      6   4.721    149.679  1  
 7274      5   4.613    239.624  1  
 7274      4   4.597    223.127  1  
 7274      3   4.626    153.291  1  
 7274      6   4.721    149.679  1  
 7274      5   4.613    239.624  1  
 7274      4   4.597    223.127  1  
 7274      3   4.626    153.291  1  
 7332      6   4.789    132.705  1  
 7332      5   4.674    231.600  1  
 7332      4   4.654    217.740  1  
 7332      3   4.678    149.708  1  
 7332      6   4.789    132.705  1  
 7332      5   4.674    231.600  1  
 7332      4   4.654    217.740  1  
 7332      3   4.678    149.708  1  
 7444      6   4.931    94.255   1  
